"--Please Select--","--Please Select--"
"Allowed Credit Cards","Allowed Credit Cards"
"Credit Card","Credit Card"
"Debug Log","Debug Log"
"Description","Description"
"Enabled","Enabled"
"Enter your credentials for LIVE environments.","Enter your credentials for LIVE environments."
"Enter your credentials for TEST environments.","Enter your credentials for TEST environments."
"Installments","Installments"
"Merchant ID","Merchant ID"
"Merchant ID (TEST)","Merchant ID (TEST)"
"New order status on Failure","New order status on Failure"
"New order status on Success","New order status on Success"
"Password","Password"
"Password (TEST)","Password (TEST)"
"Payment approved by Decidir.com.","Payment approved by Decidir.com."
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Test Mode","Test Mode"
"Title","Title"
"You will be redirected to Decidir.com","You will be redirected to Decidir.com"
