"--Please Select--","--Por favor Seleccione--"
"Allowed Credit Cards","Tarjetas de Crédito permitidas"
"Credit Card","Tarjeta de Crédito"
"Debug Log","Registro de depuración"
"Description","Descripción"
"Enabled","Habilitado"
"Enter your credentials for LIVE environments.","Ingrese sus credenciales para entornos productivos."
"Enter your credentials for TEST environments.","Ingrese sus credenciales para entornos de prueba."
"Installments","Cuotas"
"Merchant ID","ID de Comercio"
"Merchant ID (TEST)","ID de Comercio (PRUEBAS)"
"New order status on Failure","Nuevo estado del Pedido fallado"
"New order status on Success","Nuevo estado del Pedido exitoso"
"Password","Contraseña"
"Password (TEST)","Contraseña (PRUEBAS)"
"Payment approved by Decidir.com.","Pago aprobado por Decidir.com."
"Payment from applicable countries","Pago permitidos de los países"
"Payment from Specific countries","Pago de países Específicos"
"Test Mode","Modo de Prueba"
"Title","Título"
"You will be redirected to Decidir.com","Usted será redirigido a Decidir.com"
